Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","9V","PinHeader_1x02_P2.54mm_Horizontal",116.840000,-108.515000,180.000000,top
"C1","22pF","C_0201_0603Metric",137.160000,-112.105000,90.000000,top
"C2","22pF","C_0201_0603Metric",137.160000,-114.300000,90.000000,top
"C3","10nF","CP_EIA-2012-12_Kemet-R",164.800000,-114.300000,180.000000,top
"C4","100nF","C_0402_1005Metric",159.540000,-106.680000,0.000000,top
"C5","330nF","CP_EIA-3216-12_Kemet-S",109.220000,-116.840000,180.000000,top
"C6","100nF","CP_EIA-3216-10_Kemet-I",109.220000,-121.920000,90.000000,top
"C8","100nF","C_0402_1005Metric",149.860000,-114.300000,-90.000000,top
"C9","100nF","C_0402_1005Metric",149.860000,-111.760000,90.000000,top
"C10","4.7uF","CP_EIA-3528-12_Kemet-T",167.640000,-109.220000,-90.000000,top
"C11","100nF","C_0402_1005Metric",137.160000,-109.220000,-90.000000,top
"C12","100nF","C_0402_1005Metric",167.640000,-99.060000,90.000000,top
"C13","100nF","C_0402_1005Metric",149.860000,-109.220000,90.000000,top
"CL1","1nF","C_0402_1005Metric",134.620000,-119.380000,180.000000,top
"D1","~","D_0402_1005Metric",154.940000,-109.220000,180.000000,top
"D2","~","D_0402_1005Metric",156.995000,-109.220000,0.000000,top
"D3","LED","LED_0603_1608Metric",165.100000,-107.497500,-90.000000,top
"D4","LED","LED_0603_1608Metric",162.560000,-107.467500,-90.000000,top
"D5","D","D_0402_1005Metric",114.300000,-111.760000,90.000000,top
"FB1","FerriteBead","L_0603_1608Metric",167.340000,-113.512500,90.000000,top
"J1","USB_A","USB_A_Molex_48037-2200_Horizontal",157.770000,-127.755000,-90.000000,top
"J2","Conn_01x01_Pin","PinHeader_1x01_P2.00mm_Vertical",121.920000,-119.380000,-90.000000,top
"J3","Conn_01x01_Pin","PinHeader_1x01_P2.00mm_Vertical",127.000000,-119.380000,-90.000000,top
"J4","Conn_01x08_Socket","PinSocket_1x08_P1.00mm_Vertical",106.680000,-80.820000,0.000000,top
"J6","Conn_01x04_Socket","PinSocket_1x04_P1.00mm_Vertical",147.780000,-83.820000,-90.000000,top
"J7","Conn_01x04_Socket","PinSocket_1x04_P1.00mm_Vertical",149.860000,-102.060000,180.000000,top
"J8","Conn_01x08_Socket","PinSocket_1x08_P1.00mm_Vertical",116.840000,-68.660000,0.000000,top
"R1","470","R_0402_1005Metric",165.100000,-111.250000,90.000000,top
"R2","470","R_0402_1005Metric",162.560000,-110.825000,90.000000,top
"R3","4.7k","R_0402_1005Metric",121.920000,-104.650000,0.000000,top
"R4","560","R_0402_1005Metric",114.300000,-80.820000,90.000000,top
"R5","560","R_0402_1005Metric",114.300000,-83.360000,90.000000,top
"R6","560","R_0402_1005Metric",114.300000,-85.900000,90.000000,top
"R7","560","R_0402_1005Metric",114.300000,-88.440000,90.000000,top
"R8","560","R_0402_1005Metric",114.300000,-90.980000,90.000000,top
"R9","560","R_0402_1005Metric",114.300000,-93.520000,90.000000,top
"R10","560","R_0402_1005Metric",114.300000,-96.060000,90.000000,top
"R11","560","R_0402_1005Metric",114.300000,-98.600000,90.000000,top
"R12","10k","R_0402_1005Metric",167.640000,-96.520000,90.000000,top
"SW1","Reset","SW_PUSH_6mm",154.230000,-86.650000,0.000000,top
"U1","ATmega328-P","DIP-28_W7.62mm",139.700000,-91.440000,0.000000,top
"U2","LM7805_TO220","TO-220-3_Vertical",114.300000,-116.840000,-90.000000,top
"U3","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",160.020000,-99.060000,-90.000000,top
"U4","ACS723xLCTR-10AU","SOIC-8_3.9x4.9mm_P1.27mm",124.460000,-111.760000,90.000000,top
"U5","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",124.460000,-96.520000,0.000000,top
"U7","CA56-12CGKWA","CA56-12CGKWA",149.860000,-63.500000,-90.000000,top
"Y1","16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",134.620000,-111.760000,90.000000,top
